Species,Likely.Affinity,common.name,Condition,distribution,links,links.1,X
Eucalyptus obliqua,Wet sclerophyll,messmate,Wet forests,south eastern australia,https://profiles.ala.org.au/opus/foa/profile/Eucalyptus%20obliqua,,
Empodisma minus,Wet heath / wet sclerophyll,NA,Wet forests,NA,NA,NA,NA
Eucalyptus piperita,Wet sclerophyll,NA,Wet forests,NA,NA,NA,NA
Eucalyptus globoidea,Wet sclerophyll,NA,Wet forests,NA,NA,NA,NA
Banksia marginata,Wet forest / wet sclerophyll margins,silver banksia,Wet forests,wet sclerophyll / rainforest hugging the east coast,https://bie.ala.org.au/species/https://id.biodiversity.org.au/taxon/apni/51445257,https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?page=nswfl&lvl=sp&name=Banksia~marginata,
Lophostemon confertus,Subtropical rainforest / wet sclerophyll,brush box,Wet forests,wet sclerophyll / rainforest hugging the east coast,https://bie.ala.org.au/species/https://id.biodiversity.org.au/node/apni/2908951,,
Pteridium esculentum,Wet forest understory,bracken fern,Wet forests,restricted to the wetter coast,https://bie.ala.org.au/species/https://id.biodiversity.org.au/taxon/apni/51763684,,
Alphitonia excelsa,Subtropical rainforest,NA,Wet forests,NA,NA,NA,NA
Gahnia deusta,Wet forest understory,NA,Wet forests,NA,NA,NA,NA
Eucalyptus tereticornis,Moist forest / riparian,NA,Wet forests,NA,NA,NA,NA
Orites revolutus,Cool temperate rainforest-alpine,NA,Wet forests,NA,NA,NA,NA
Richea scoparia,Cool temperate wet heath/rainforest,NA,Wet forests,NA,NA,NA,NA
Richea acerosa,Cool temperate wet vegetation,NA,Wet forests,NA,NA,NA,NA
Astelia alpina var. alpina,Cool temperate rainforest/heath,NA,Wet forests,NA,NA,NA,NA
Jagera pseudorhus var. pseudorhus,Subtropical rainforest,NA,Wet forests,NA,NA,NA,NA
Syncarpia glomulifera subsp. glomulifera,Wet sclerophyll / rainforest ecotone,NA,Wet forests,NA,NA,NA,NA
