"siteName","stateCode","siteVisitName","taxonFamily","latitude_Degree","longitude_Degree","siteVisitStartDate","abundance"
"NSABBS0001","NS",20180511,"Apocynaceae",-31.28119,148.9766,"2018-05-11T15:21:54",1
"NSABBS0001","NS",20180511,"Asteraceae",-31.28119,148.9766,"2018-05-11T15:21:54",10
"NSABBS0001","NS",20180511,"Boraginaceae",-31.28119,148.9766,"2018-05-11T15:21:54",40
"NSABBS0001","NS",20180511,"Chenopodiaceae",-31.28119,148.9766,"2018-05-11T15:21:54",1
"NSABBS0001","NS",20180511,"Cupressaceae",-31.28119,148.9766,"2018-05-11T15:21:54",27
"NSABBS0001","NS",20180511,"Fabaceae",-31.28119,148.9766,"2018-05-11T15:21:54",10
"NSABBS0001","NS",20180511,"Malvaceae",-31.28119,148.9766,"2018-05-11T15:21:54",19
"NSABBS0001","NS",20180511,"Myrtaceae",-31.28119,148.9766,"2018-05-11T15:21:54",416
"NSABBS0001","NS",20180511,"Poaceae",-31.28119,148.9766,"2018-05-11T15:21:54",9
"NSABBS0001","NS",20180511,"Pteridaceae",-31.28119,148.9766,"2018-05-11T15:21:54",8
"NSABBS0001","NS",20180511,"Sapindaceae",-31.28119,148.9766,"2018-05-11T15:21:54",1
"NSABBS0002","NS",20180512,"Apocynaceae",-31.27945,148.9925,"2018-05-12T13:41:09",1
"NSABBS0002","NS",20180512,"Boraginaceae",-31.27945,148.9925,"2018-05-12T13:41:09",60
"NSABBS0002","NS",20180512,"Chenopodiaceae",-31.27945,148.9925,"2018-05-12T13:41:09",3
"NSABBS0002","NS",20180512,"Cupressaceae",-31.27945,148.9925,"2018-05-12T13:41:09",106
"NSABBS0002","NS",20180512,"Fabaceae",-31.27945,148.9925,"2018-05-12T13:41:09",159
"NSABBS0002","NS",20180512,"Lamiaceae",-31.27945,148.9925,"2018-05-12T13:41:09",6
"NSABBS0002","NS",20180512,"Malvaceae",-31.27945,148.9925,"2018-05-12T13:41:09",13
"NSABBS0002","NS",20180512,"Myrtaceae",-31.27945,148.9925,"2018-05-12T13:41:09",185
"NSABBS0002","NS",20180512,"Oxalidaceae",-31.27945,148.9925,"2018-05-12T13:41:09",1
"NSABBS0002","NS",20180512,"Pittosporaceae",-31.27945,148.9925,"2018-05-12T13:41:09",4
"NSABBS0002","NS",20180512,"Poaceae",-31.27945,148.9925,"2018-05-12T13:41:09",17
"NSABBS0002","NS",20180512,"Pteridaceae",-31.27945,148.9925,"2018-05-12T13:41:09",20
"NSABBS0002","NS",20180512,"Rutaceae",-31.27945,148.9925,"2018-05-12T13:41:09",4
"NSABBS0002","NS",20180512,"Zamiaceae",-31.27945,148.9925,"2018-05-12T13:41:09",64
"NSABBS0003","NS",20180513,"Casuarinaceae",-30.45465,149.2268,"2018-05-13T15:25:40",249
"NSABBS0003","NS",20180513,"Cupressaceae",-30.45465,149.2268,"2018-05-13T15:25:40",173
"NSABBS0003","NS",20180513,"Fabaceae",-30.45465,149.2268,"2018-05-13T15:25:40",59
"NSABBS0003","NS",20180513,"Lamiaceae",-30.45465,149.2268,"2018-05-13T15:25:40",13
"NSABBS0003","NS",20180513,"Myrtaceae",-30.45465,149.2268,"2018-05-13T15:25:40",225
"NSABBS0003","NS",20180513,"Poaceae",-30.45465,149.2268,"2018-05-13T15:25:40",1
"NSABBS0003","NS",20180513,"Zamiaceae",-30.45465,149.2268,"2018-05-13T15:25:40",2
"NSABBS0004","NS",20180514,"Asteraceae",-30.46096,149.2469,"2018-05-14T11:40:15",5
"NSABBS0004","NS",20180514,"Casuarinaceae",-30.46096,149.2469,"2018-05-14T11:40:15",230
"NSABBS0004","NS",20180514,"Cupressaceae",-30.46096,149.2469,"2018-05-14T11:40:15",296
"NSABBS0004","NS",20180514,"Fabaceae",-30.46096,149.2469,"2018-05-14T11:40:15",35
"NSABBS0004","NS",20180514,"Myrtaceae",-30.46096,149.2469,"2018-05-14T11:40:15",344
"NSABBS0004","NS",20180514,"Poaceae",-30.46096,149.2469,"2018-05-14T11:40:15",3
"NSABBS0005","NS",20180515,"Asteraceae",-30.49878,149.28,"2018-05-15T09:52:21",1
"NSABBS0005","NS",20180515,"Casuarinaceae",-30.49878,149.28,"2018-05-15T09:52:21",266
"NSABBS0005","NS",20180515,"Cupressaceae",-30.49878,149.28,"2018-05-15T09:52:21",211
"NSABBS0005","NS",20180515,"Loranthaceae",-30.49878,149.28,"2018-05-15T09:52:21",2
"NSABBS0005","NS",20180515,"Myrtaceae",-30.49878,149.28,"2018-05-15T09:52:21",234
"NSABBS0005","NS",20180515,"Poaceae",-30.49878,149.28,"2018-05-15T09:52:21",1
"NSABBS0005","NS",20180515,"Rutaceae",-30.49878,149.28,"2018-05-15T09:52:21",3
"NSABBS0006","NS",20180515,"Asteraceae",-30.51027,149.2673,"2018-05-15T15:49:17",3
"NSABBS0006","NS",20180515,"Casuarinaceae",-30.51027,149.2673,"2018-05-15T15:49:17",234
"NSABBS0006","NS",20180515,"Cupressaceae",-30.51027,149.2673,"2018-05-15T15:49:17",303
"NSABBS0006","NS",20180515,"Fabaceae",-30.51027,149.2673,"2018-05-15T15:49:17",59
"NSABBS0006","NS",20180515,"Myrtaceae",-30.51027,149.2673,"2018-05-15T15:49:17",340
"NSABBS0006","NS",20180515,"Poaceae",-30.51027,149.2673,"2018-05-15T15:49:17",2
"NSABBS0006","NS",20180515,"Scrophulariaceae",-30.51027,149.2673,"2018-05-15T15:49:17",12
"NSABHC0001","NS",20120529,"Aizoaceae",-31.89335,141.4338,"2012-05-29T00:00:00",46
"NSABHC0001","NS",20120529,"Asteraceae",-31.89335,141.4338,"2012-05-29T00:00:00",22
"NSABHC0001","NS",20120529,"Chenopodiaceae",-31.89335,141.4338,"2012-05-29T00:00:00",127
"NSABHC0001","NS",20120529,"Malvaceae",-31.89335,141.4338,"2012-05-29T00:00:00",42
"NSABHC0001","NS",20120529,"Poaceae",-31.89335,141.4338,"2012-05-29T00:00:00",34
"NSABHC0002","NS",20120531,"Aizoaceae",-31.92703,141.433,"2012-05-31T00:00:00",51
"NSABHC0002","NS",20120531,"Apocynaceae",-31.92703,141.433,"2012-05-31T00:00:00",1
"NSABHC0002","NS",20120531,"Asteraceae",-31.92703,141.433,"2012-05-31T00:00:00",39
"NSABHC0002","NS",20120531,"Chenopodiaceae",-31.92703,141.433,"2012-05-31T00:00:00",123
"NSABHC0002","NS",20120531,"Fabaceae",-31.92703,141.433,"2012-05-31T00:00:00",2
"NSABHC0002","NS",20120531,"Malvaceae",-31.92703,141.433,"2012-05-31T00:00:00",35
"NSABHC0002","NS",20120531,"Poaceae",-31.92703,141.433,"2012-05-31T00:00:00",62
"NSABHC0003","NS",20120604,"Asteraceae",-31.82872,141.434,"2012-06-04T00:00:00",11
"NSABHC0003","NS",20120604,"Chenopodiaceae",-31.82872,141.434,"2012-06-04T00:00:00",230
"NSABHC0003","NS",20120604,"Convolvulaceae",-31.82872,141.434,"2012-06-04T00:00:00",1
"NSABHC0003","NS",20120604,"Fabaceae",-31.82872,141.434,"2012-06-04T00:00:00",4
"NSABHC0003","NS",20120604,"Malvaceae",-31.82872,141.434,"2012-06-04T00:00:00",1
"NSABHC0003","NS",20120604,"Poaceae",-31.82872,141.434,"2012-06-04T00:00:00",7
"NSABHC0003","NS",20120604,"Scrophulariaceae",-31.82872,141.434,"2012-06-04T00:00:00",4
"NSABHC0004","NS",20120606,"Aizoaceae",-31.84728,141.9481,"2012-06-06T00:00:00",1
"NSABHC0004","NS",20120606,"Apiaceae",-31.84728,141.9481,"2012-06-06T00:00:00",2
"NSABHC0004","NS",20120606,"Asteraceae",-31.84728,141.9481,"2012-06-06T00:00:00",9
"NSABHC0004","NS",20120606,"Boraginaceae",-31.84728,141.9481,"2012-06-06T00:00:00",14
"NSABHC0004","NS",20120606,"Brassicaceae",-31.84728,141.9481,"2012-06-06T00:00:00",30
"NSABHC0004","NS",20120606,"Campanulaceae",-31.84728,141.9481,"2012-06-06T00:00:00",2
"NSABHC0004","NS",20120606,"Chenopodiaceae",-31.84728,141.9481,"2012-06-06T00:00:00",104
"NSABHC0004","NS",20120606,"Convolvulaceae",-31.84728,141.9481,"2012-06-06T00:00:00",16
"NSABHC0004","NS",20120606,"Cyperaceae",-31.84728,141.9481,"2012-06-06T00:00:00",2
"NSABHC0004","NS",20120606,"Euphorbiaceae",-31.84728,141.9481,"2012-06-06T00:00:00",2
"NSABHC0004","NS",20120606,"Fabaceae",-31.84728,141.9481,"2012-06-06T00:00:00",27
"NSABHC0004","NS",20120606,"Haloragaceae",-31.84728,141.9481,"2012-06-06T00:00:00",3
"NSABHC0004","NS",20120606,"Lamiaceae",-31.84728,141.9481,"2012-06-06T00:00:00",1
"NSABHC0004","NS",20120606,"Malvaceae",-31.84728,141.9481,"2012-06-06T00:00:00",32
"NSABHC0004","NS",20120606,"Nyctaginaceae",-31.84728,141.9481,"2012-06-06T00:00:00",6
"NSABHC0004","NS",20120606,"Poaceae",-31.84728,141.9481,"2012-06-06T00:00:00",118
"NSABHC0004","NS",20120606,"Scrophulariaceae",-31.84728,141.9481,"2012-06-06T00:00:00",2
"NSABHC0005","NS",20120730,"Asteraceae",-31.84496,141.9405,"2012-07-30T00:00:00",14
"NSABHC0005","NS",20120730,"Brassicaceae",-31.84496,141.9405,"2012-07-30T00:00:00",14
"NSABHC0005","NS",20120730,"Chenopodiaceae",-31.84496,141.9405,"2012-07-30T00:00:00",7
"NSABHC0005","NS",20120730,"Malvaceae",-31.84496,141.9405,"2012-07-30T00:00:00",61
"NSABHC0005","NS",20120730,"Poaceae",-31.84496,141.9405,"2012-07-30T00:00:00",387
"NSABHC0006","NS",20120801,"Asteraceae",-31.88421,141.7823,"2012-08-01T00:00:00",14
"NSABHC0006","NS",20120801,"Chenopodiaceae",-31.88421,141.7823,"2012-08-01T00:00:00",165
"NSABHC0006","NS",20120801,"Convolvulaceae",-31.88421,141.7823,"2012-08-01T00:00:00",1
"NSABHC0006","NS",20120801,"Cyperaceae",-31.88421,141.7823,"2012-08-01T00:00:00",23
"NSABHC0006","NS",20120801,"Fabaceae",-31.88421,141.7823,"2012-08-01T00:00:00",1
"NSABHC0006","NS",20120801,"Goodeniaceae",-31.88421,141.7823,"2012-08-01T00:00:00",2
"NSABHC0006","NS",20120801,"Malvaceae",-31.88421,141.7823,"2012-08-01T00:00:00",33
"NSABHC0006","NS",20120801,"Poaceae",-31.88421,141.7823,"2012-08-01T00:00:00",275
"NSABHC0007","NS",20120802,"Apiaceae",-31.90113,141.7644,"2012-08-02T00:00:00",1
"NSABHC0007","NS",20120802,"Asteraceae",-31.90113,141.7644,"2012-08-02T00:00:00",15
"NSABHC0007","NS",20120802,"Brassicaceae",-31.90113,141.7644,"2012-08-02T00:00:00",4
"NSABHC0007","NS",20120802,"Chenopodiaceae",-31.90113,141.7644,"2012-08-02T00:00:00",200
"NSABHC0007","NS",20120802,"Euphorbiaceae",-31.90113,141.7644,"2012-08-02T00:00:00",1
"NSABHC0007","NS",20120802,"Fabaceae",-31.90113,141.7644,"2012-08-02T00:00:00",10
"NSABHC0007","NS",20120802,"Malvaceae",-31.90113,141.7644,"2012-08-02T00:00:00",32
"NSABHC0007","NS",20120802,"Poaceae",-31.90113,141.7644,"2012-08-02T00:00:00",160
"NSABHC0008","NS",20120831,"Aizoaceae",-31.88592,141.5288,"2012-08-31T00:00:00",25
"NSABHC0008","NS",20120831,"Asteraceae",-31.88592,141.5288,"2012-08-31T00:00:00",41
"NSABHC0008","NS",20120831,"Campanulaceae",-31.88592,141.5288,"2012-08-31T00:00:00",3
"NSABHC0008","NS",20120831,"Chenopodiaceae",-31.88592,141.5288,"2012-08-31T00:00:00",183
"NSABHC0008","NS",20120831,"Fabaceae",-31.88592,141.5288,"2012-08-31T00:00:00",2
"NSABHC0008","NS",20120831,"Malvaceae",-31.88592,141.5288,"2012-08-31T00:00:00",7
"NSABHC0008","NS",20120831,"Poaceae",-31.88592,141.5288,"2012-08-31T00:00:00",67
"NSABHC0008","NS",20120831,"Scrophulariaceae",-31.88592,141.5288,"2012-08-31T00:00:00",2
"NSABHC0009","NS",20120903,"Aizoaceae",-31.08023,141.6974,"2012-09-03T00:00:00",1
"NSABHC0009","NS",20120903,"Amaranthaceae",-31.08023,141.6974,"2012-09-03T00:00:00",1
"NSABHC0009","NS",20120903,"Apiaceae",-31.08023,141.6974,"2012-09-03T00:00:00",1
"NSABHC0009","NS",20120903,"Asteraceae",-31.08023,141.6974,"2012-09-03T00:00:00",51
"NSABHC0009","NS",20120903,"Brassicaceae",-31.08023,141.6974,"2012-09-03T00:00:00",1
"NSABHC0009","NS",20120903,"Campanulaceae",-31.08023,141.6974,"2012-09-03T00:00:00",1
"NSABHC0009","NS",20120903,"Chenopodiaceae",-31.08023,141.6974,"2012-09-03T00:00:00",166
"NSABHC0009","NS",20120903,"Convolvulaceae",-31.08023,141.6974,"2012-09-03T00:00:00",1
"NSABHC0009","NS",20120903,"Euphorbiaceae",-31.08023,141.6974,"2012-09-03T00:00:00",1
"NSABHC0009","NS",20120903,"Fabaceae",-31.08023,141.6974,"2012-09-03T00:00:00",6
"NSABHC0009","NS",20120903,"Malvaceae",-31.08023,141.6974,"2012-09-03T00:00:00",21
"NSABHC0009","NS",20120903,"Poaceae",-31.08023,141.6974,"2012-09-03T00:00:00",172
"NSABHC0009","NS",20160913,"Apiaceae",-31.08023,141.6974,"2016-09-13T11:11:06",16
"NSABHC0009","NS",20160913,"Asteraceae",-31.08023,141.6974,"2016-09-13T11:11:06",155
"NSABHC0009","NS",20160913,"Brassicaceae",-31.08023,141.6974,"2016-09-13T11:11:06",2
"NSABHC0009","NS",20160913,"Casuarinaceae",-31.08023,141.6974,"2016-09-13T11:11:06",4
"NSABHC0009","NS",20160913,"Chenopodiaceae",-31.08023,141.6974,"2016-09-13T11:11:06",206
"NSABHC0009","NS",20160913,"Crassulaceae",-31.08023,141.6974,"2016-09-13T11:11:06",28
"NSABHC0009","NS",20160913,"Fabaceae",-31.08023,141.6974,"2016-09-13T11:11:06",31
"NSABHC0009","NS",20160913,"Geraniaceae",-31.08023,141.6974,"2016-09-13T11:11:06",5
"NSABHC0009","NS",20160913,"Goodeniaceae",-31.08023,141.6974,"2016-09-13T11:11:06",1
"NSABHC0009","NS",20160913,"Linaceae",-31.08023,141.6974,"2016-09-13T11:11:06",1
"NSABHC0009","NS",20160913,"Oxalidaceae",-31.08023,141.6974,"2016-09-13T11:11:06",1
"NSABHC0009","NS",20160913,"Plantaginaceae",-31.08023,141.6974,"2016-09-13T11:11:06",41
"NSABHC0009","NS",20160913,"Poaceae",-31.08023,141.6974,"2016-09-13T11:11:06",73
"NSABHC0009","NS",20160913,"Portulacaceae",-31.08023,141.6974,"2016-09-13T11:11:06",59
"NSABHC0010","NS",20120904,"Aizoaceae",-31.07672,141.7003,"2012-09-04T00:00:00",3
"NSABHC0010","NS",20120904,"Asteraceae",-31.07672,141.7003,"2012-09-04T00:00:00",7
"NSABHC0010","NS",20120904,"Chenopodiaceae",-31.07672,141.7003,"2012-09-04T00:00:00",86
"NSABHC0010","NS",20120904,"Euphorbiaceae",-31.07672,141.7003,"2012-09-04T00:00:00",3
"NSABHC0010","NS",20120904,"Fabaceae",-31.07672,141.7003,"2012-09-04T00:00:00",13
"NSABHC0010","NS",20120904,"Malvaceae",-31.07672,141.7003,"2012-09-04T00:00:00",5
"NSABHC0010","NS",20120904,"Poaceae",-31.07672,141.7003,"2012-09-04T00:00:00",34
"NSABHC0011","NS",20120918,"Asteraceae",-31.02532,141.6781,"2012-09-18T00:00:00",15
"NSABHC0011","NS",20120918,"Chenopodiaceae",-31.02532,141.6781,"2012-09-18T00:00:00",190
"NSABHC0011","NS",20120918,"Fabaceae",-31.02532,141.6781,"2012-09-18T00:00:00",3
"NSABHC0011","NS",20120918,"Malvaceae",-31.02532,141.6781,"2012-09-18T00:00:00",12
"NSABHC0011","NS",20120918,"Poaceae",-31.02532,141.6781,"2012-09-18T00:00:00",125
"NSABHC0011","NS",20120918,"Thymelaeaceae",-31.02532,141.6781,"2012-09-18T00:00:00",2
"NSABHC0012","NS",20120919,"Acanthaceae",-31.07957,141.7411,"2012-09-19T00:00:00",5
"NSABHC0012","NS",20120919,"Asteraceae",-31.07957,141.7411,"2012-09-19T00:00:00",73
"NSABHC0012","NS",20120919,"Chenopodiaceae",-31.07957,141.7411,"2012-09-19T00:00:00",109
"NSABHC0012","NS",20120919,"Convolvulaceae",-31.07957,141.7411,"2012-09-19T00:00:00",1
"NSABHC0012","NS",20120919,"Fabaceae",-31.07957,141.7411,"2012-09-19T00:00:00",3
"NSABHC0012","NS",20120919,"Malvaceae",-31.07957,141.7411,"2012-09-19T00:00:00",10
"NSABHC0012","NS",20120919,"Plantaginaceae",-31.07957,141.7411,"2012-09-19T00:00:00",1
"NSABHC0012","NS",20120919,"Poaceae",-31.07957,141.7411,"2012-09-19T00:00:00",136
"NSABHC0012","NS",20160915,"Aizoaceae",-31.07957,141.7411,"2016-09-15T09:49:34",15
"NSABHC0012","NS",20160915,"Apiaceae",-31.07957,141.7411,"2016-09-15T09:49:34",1
"NSABHC0012","NS",20160915,"Asphodelaceae",-31.07957,141.7411,"2016-09-15T09:49:34",6
