"siteName","stateCode","siteVisitName","taxonGenus","latitude_Degree","longitude_Degree","siteVisitStartDate","abundance"
"NSABBS0001","NS",20180511,"Acacia",-31.28119,148.9766,"2018-05-11T15:21:54",8
"NSABBS0001","NS",20180511,"Alstonia",-31.28119,148.9766,"2018-05-11T15:21:54",1
"NSABBS0001","NS",20180511,"Angophora",-31.28119,148.9766,"2018-05-11T15:21:54",11
"NSABBS0001","NS",20180511,"Boraginaceae",-31.28119,148.9766,"2018-05-11T15:21:54",30
"NSABBS0001","NS",20180511,"Brachychiton",-31.28119,148.9766,"2018-05-11T15:21:54",16
"NSABBS0001","NS",20180511,"Callitris",-31.28119,148.9766,"2018-05-11T15:21:54",21
"NSABBS0001","NS",20180511,"Cheilanthes",-31.28119,148.9766,"2018-05-11T15:21:54",6
"NSABBS0001","NS",20180511,"Dodonaea",-31.28119,148.9766,"2018-05-11T15:21:54",1
"NSABBS0001","NS",20180511,"Eucalyptus",-31.28119,148.9766,"2018-05-11T15:21:54",318
"NSABBS0001","NS",20180511,"Paspalidium",-31.28119,148.9766,"2018-05-11T15:21:54",4
"NSABBS0001","NS",20180511,"Poaceae",-31.28119,148.9766,"2018-05-11T15:21:54",1
"NSABBS0001","NS",20180511,"Rhagodia",-31.28119,148.9766,"2018-05-11T15:21:54",1
"NSABBS0001","NS",20180511,"Rytidosperma",-31.28119,148.9766,"2018-05-11T15:21:54",2
"NSABBS0001","NS",20180511,"Vittadinia",-31.28119,148.9766,"2018-05-11T15:21:54",8
"NSABBS0001","NS",20180511,NA,-31.28119,148.9766,"2018-05-11T15:21:54",114
"NSABBS0002","NS",20180512,"Acacia",-31.27945,148.9925,"2018-05-12T13:41:09",193
"NSABBS0002","NS",20180512,"Alstonia",-31.27945,148.9925,"2018-05-12T13:41:09",1
"NSABBS0002","NS",20180512,"Brachychiton",-31.27945,148.9925,"2018-05-12T13:41:09",11
"NSABBS0002","NS",20180512,"Bursaria",-31.27945,148.9925,"2018-05-12T13:41:09",4
"NSABBS0002","NS",20180512,"Callitris",-31.27945,148.9925,"2018-05-12T13:41:09",86
"NSABBS0002","NS",20180512,"Cheilanthes",-31.27945,148.9925,"2018-05-12T13:41:09",14
"NSABBS0002","NS",20180512,"Einadia",-31.27945,148.9925,"2018-05-12T13:41:09",3
"NSABBS0002","NS",20180512,"Eucalyptus",-31.27945,148.9925,"2018-05-12T13:41:09",132
"NSABBS0002","NS",20180512,"Heliotropium",-31.27945,148.9925,"2018-05-12T13:41:09",51
"NSABBS0002","NS",20180512,"Homoranthus",-31.27945,148.9925,"2018-05-12T13:41:09",7
"NSABBS0002","NS",20180512,"Micromyrtus",-31.27945,148.9925,"2018-05-12T13:41:09",2
"NSABBS0002","NS",20180512,"Oxalis",-31.27945,148.9925,"2018-05-12T13:41:09",1
"NSABBS0002","NS",20180512,"Phebalium",-31.27945,148.9925,"2018-05-12T13:41:09",2
"NSABBS0002","NS",20180512,"Poaceae",-31.27945,148.9925,"2018-05-12T13:41:09",13
"NSABBS0002","NS",20180512,"Teucrium",-31.27945,148.9925,"2018-05-12T13:41:09",5
"NSABBS0002","NS",20180512,NA,-31.27945,148.9925,"2018-05-12T13:41:09",118
"NSABBS0003","NS",20180513,"Acacia",-30.45465,149.2268,"2018-05-13T15:25:40",48
"NSABBS0003","NS",20180513,"Callitris",-30.45465,149.2268,"2018-05-13T15:25:40",133
"NSABBS0003","NS",20180513,"Calytrix",-30.45465,149.2268,"2018-05-13T15:25:40",29
"NSABBS0003","NS",20180513,"Casuarina",-30.45465,149.2268,"2018-05-13T15:25:40",192
"NSABBS0003","NS",20180513,"Eucalyptus",-30.45465,149.2268,"2018-05-13T15:25:40",157
"NSABBS0003","NS",20180513,"Westringia",-30.45465,149.2268,"2018-05-13T15:25:40",11
"NSABBS0003","NS",20180513,NA,-30.45465,149.2268,"2018-05-13T15:25:40",152
"NSABBS0004","NS",20180514,"Acacia",-30.46096,149.2469,"2018-05-14T11:40:15",24
"NSABBS0004","NS",20180514,"Aristida",-30.46096,149.2469,"2018-05-14T11:40:15",2
"NSABBS0004","NS",20180514,"Callitris",-30.46096,149.2469,"2018-05-14T11:40:15",231
"NSABBS0004","NS",20180514,"Casuarina",-30.46096,149.2469,"2018-05-14T11:40:15",191
"NSABBS0004","NS",20180514,"Eucalyptus",-30.46096,149.2469,"2018-05-14T11:40:15",264
"NSABBS0004","NS",20180514,"Vittadinia",-30.46096,149.2469,"2018-05-14T11:40:15",4
"NSABBS0004","NS",20180514,NA,-30.46096,149.2469,"2018-05-14T11:40:15",197
"NSABBS0005","NS",20180515,"Callitris",-30.49878,149.28,"2018-05-15T09:52:21",166
"NSABBS0005","NS",20180515,"Calotis",-30.49878,149.28,"2018-05-15T09:52:21",1
"NSABBS0005","NS",20180515,"Calytrix",-30.49878,149.28,"2018-05-15T09:52:21",12
"NSABBS0005","NS",20180515,"Casuarina",-30.49878,149.28,"2018-05-15T09:52:21",201
"NSABBS0005","NS",20180515,"Eucalyptus",-30.49878,149.28,"2018-05-15T09:52:21",171
"NSABBS0005","NS",20180515,"Geijera",-30.49878,149.28,"2018-05-15T09:52:21",3
