"siteName","stateCode","siteVisitName","scientificName","latitude_Degree","longitude_Degree","siteVisitStartDate","abundance","precipitationAnnualMean_millimetre","solarRadiationMean_megajoulePerSquareMetre","maximumTemperature_degreeCelsius","minimumTemperature_degreeCelsius","temperatureAnnualMean_degreeCelsius","climaticCondition","average_soil_pH_unitless","average_soil_EC_dSPerMetre","soil_texture_Grade"
"NSABBS0001","NS",20180511,"Acacia cheelii",-31.28119,148.9766,2018-05-11 15:21:54,8,693.54,19.3271,37.3901,-1.817,16.6134,"DRY",6.33,0.0352,"Clayey sand"
"NSABBS0001","NS",20180511,"Alstonia constricta",-31.28119,148.9766,2018-05-11 15:21:54,1,693.54,19.3271,37.3901,-1.817,16.6134,"DRY",6.33,0.0352,"Clayey sand"
"NSABBS0001","NS",20180511,"Angophora",-31.28119,148.9766,2018-05-11 15:21:54,11,693.54,19.3271,37.3901,-1.817,16.6134,"DRY",6.33,0.0352,"Clayey sand"
"NSABBS0001","NS",20180511,"Boraginaceae",-31.28119,148.9766,2018-05-11 15:21:54,30,693.54,19.3271,37.3901,-1.817,16.6134,"DRY",6.33,0.0352,"Clayey sand"
"NSABBS0001","NS",20180511,"Brachychiton populneus",-31.28119,148.9766,2018-05-11 15:21:54,16,693.54,19.3271,37.3901,-1.817,16.6134,"DRY",6.33,0.0352,"Clayey sand"
"NSABBS0001","NS",20180511,"Callitris glaucophylla",-31.28119,148.9766,2018-05-11 15:21:54,21,693.54,19.3271,37.3901,-1.817,16.6134,"DRY",6.33,0.0352,"Clayey sand"
"NSABBS0001","NS",20180511,"Cheilanthes sieberi subsp. sieberi",-31.28119,148.9766,2018-05-11 15:21:54,6,693.54,19.3271,37.3901,-1.817,16.6134,"DRY",6.33,0.0352,"Clayey sand"
"NSABBS0001","NS",20180511,"Dodonaea viscosa subsp. angustifolia",-31.28119,148.9766,2018-05-11 15:21:54,1,693.54,19.3271,37.3901,-1.817,16.6134,"DRY",6.33,0.0352,"Clayey sand"
"NSABBS0001","NS",20180511,"Eucalyptus",-31.28119,148.9766,2018-05-11 15:21:54,1,693.54,19.3271,37.3901,-1.817,16.6134,"DRY",6.33,0.0352,"Clayey sand"
"NSABBS0001","NS",20180511,"Eucalyptus crebra",-31.28119,148.9766,2018-05-11 15:21:54,41,693.54,19.3271,37.3901,-1.817,16.6134,"DRY",6.33,0.0352,"Clayey sand"
"NSABBS0001","NS",20180511,"Eucalyptus dealbata",-31.28119,148.9766,2018-05-11 15:21:54,252,693.54,19.3271,37.3901,-1.817,16.6134,"DRY",6.33,0.0352,"Clayey sand"
"NSABBS0001","NS",20180511,"Eucalyptus microcarpa",-31.28119,148.9766,2018-05-11 15:21:54,24,693.54,19.3271,37.3901,-1.817,16.6134,"DRY",6.33,0.0352,"Clayey sand"
"NSABBS0001","NS",20180511,"Paspalidium",-31.28119,148.9766,2018-05-11 15:21:54,4,693.54,19.3271,37.3901,-1.817,16.6134,"DRY",6.33,0.0352,"Clayey sand"
"NSABBS0001","NS",20180511,"Poaceae",-31.28119,148.9766,2018-05-11 15:21:54,1,693.54,19.3271,37.3901,-1.817,16.6134,"DRY",6.33,0.0352,"Clayey sand"
"NSABBS0001","NS",20180511,"Rhagodia spinescens",-31.28119,148.9766,2018-05-11 15:21:54,1,693.54,19.3271,37.3901,-1.817,16.6134,"DRY",6.33,0.0352,"Clayey sand"
"NSABBS0001","NS",20180511,"Rytidosperma racemosum var. obtusatum",-31.28119,148.9766,2018-05-11 15:21:54,2,693.54,19.3271,37.3901,-1.817,16.6134,"DRY",6.33,0.0352,"Clayey sand"
"NSABBS0001","NS",20180511,"Vittadinia",-31.28119,148.9766,2018-05-11 15:21:54,1,693.54,19.3271,37.3901,-1.817,16.6134,"DRY",6.33,0.0352,"Clayey sand"
