"siteName","stateCode","siteVisitName","latitude_Degree","longitude_Degree","siteVisitStartDate","unique_species_count","precipitationAnnualMean_millimetre","solarRadiationMean_megajoulePerSquareMetre","maximumTemperature_degreeCelsius","minimumTemperature_degreeCelsius","temperatureAnnualMean_degreeCelsius","climaticCondition","average_soil_pH_unitless","average_soil_EC_dSPerMetre","soil_texture_Grade"
"NSABBS0001","NS",20180511,-31.28119,148.9766,2018-05-11 15:21:54,18,693.54,19.3271,37.3901,-1.817,16.6134,"DRY",6.33,0.0352,"Clayey sand"
"NSABBS0002","NS",20180512,-31.27945,148.9925,2018-05-12 13:41:09,17,699.795,19.3406,37.5658,-1.77308,16.78,"WET",5.928,0.0352,"Clayey sand"
"NSABBS0003","NS",20180513,-30.45465,149.2268,2018-05-13 15:25:40,11,568.074,19.8216,39.4243,-0.036467,19.226,"DRY",5.76,0.0716,"Clayey sand& Loamy sand"
"NSABBS0004","NS",20180514,-30.46096,149.2469,2018-05-14 11:40:15,8,570.194,19.8125,39.4037,-0.0480058,19.2077,"DRY",6.54166666666667,0.171833333333333,"Clayey sand"
"NSABBS0005","NS",20180515,-30.49878,149.28,2018-05-15 09:52:21,9,574.432,19.7924,39.3493,-0.0928283,19.1466,"DRY",6.74666666666667,0.1305,"Loamy sand"
"NSABBS0006","NS",20180515,-30.51027,149.2673,2018-05-15 15:49:17,11,575.211,19.785,39.3064,-0.141986,19.0872,"DRY",6.256,0.075,"Loamy sand"
"NSABHC0009","NS",20120903,-31.08023,141.6974,2012-09-03,37,207.651,20.7765,40.6051,1.72848,19.5869,NA,NA,NA,NA
"NSABHC0010","NS",20120904,-31.07672,141.7003,2012-09-04,17,207.794,20.7783,40.5534,1.70047,19.5335,NA,NA,NA,NA
"NSABHC0014","NS",20120921,-31.33115,141.5915,2012-09-21,21,220.428,20.5465,39.4093,1.36737,18.6134,NA,NA,NA,NA
"NSABHC0015","NS",20130205,-31.83394,141.0592,2013-02-05,26,201.12,20.3916,39.4926,1.78057,18.8759,"DRY",7.76,0.138,NA
"NSABHC0016","NS",20131206,-31.83403,141.0614,2013-12-06,14,201.391,20.3882,39.4839,1.78025,18.8713,"DRY",8.3,0.163,NA
"NSABHC0017","NS",20130207,-31.84331,141.1926,2013-02-07,19,215.329,20.306,39.1453,1.6763,18.6073,"DRY",9.12,0.075,NA
"NSABHC0018","NS",20130313,-32.24909,142.0537,2013-03-13 13:40:00,11,217.98,20.1669,39.6791,1.75857,18.9468,"DRY",7.95,0.166,NA
"NSABHC0019","NS",20130313,-32.51485,141.5496,2013-03-13 13:43:00,18,215.5,20.0207,39.1597,1.85586,18.6159,"DRY",7.76,0.1,NA
"NSABHC0020","NS",20130314,-32.26481,141.5007,2013-03-14,18,221.71,20.1051,39.0239,1.7776,18.547,"WET",8.16,0.142,NA
"NSABHC0021","NS",20140419,-32.12007,141.8683,2014-04-19,33,215.448,20.2049,39.5188,1.78752,18.8855,"WET",8.8,0.164,NA
"NSABHC0022","NS",20140419,-30.66608,142.4724,2014-04-19,18,228.206,20.971,41.4933,2.13124,20.0898,"DRY",7.87,0.258,NA
"NSABHC0023","NS",20140421,-31.34395,142.1366,2014-04-21,26,213.604,20.6834,40.7356,1.89092,19.6545,"WET",7.5,0.116,NA
