"siteName","stateCode","siteVisitName","latitude_Degree","longitude_Degree","siteVisitStartDate","unique_species_count"
"NSABBS0001","NS",20180511,-31.28119,148.9766,"2018-05-11T15:21:54",18
"NSABBS0002","NS",20180512,-31.27945,148.9925,"2018-05-12T13:41:09",17
"NSABBS0003","NS",20180513,-30.45465,149.2268,"2018-05-13T15:25:40",11
"NSABBS0004","NS",20180514,-30.46096,149.2469,"2018-05-14T11:40:15",8
"NSABBS0005","NS",20180515,-30.49878,149.28,"2018-05-15T09:52:21",9
"NSABBS0006","NS",20180515,-30.51027,149.2673,"2018-05-15T15:49:17",11
"NSABHC0001","NS",20120529,-31.89335,141.4338,"2012-05-29T00:00:00",23
"NSABHC0002","NS",20120531,-31.92703,141.433,"2012-05-31T00:00:00",22
"NSABHC0003","NS",20120604,-31.82872,141.434,"2012-06-04T00:00:00",19
"NSABHC0004","NS",20120606,-31.84728,141.9481,"2012-06-06T00:00:00",41
"NSABHC0005","NS",20120730,-31.84496,141.9405,"2012-07-30T00:00:00",21
"NSABHC0006","NS",20120801,-31.88421,141.7823,"2012-08-01T00:00:00",23
"NSABHC0007","NS",20120802,-31.90113,141.7644,"2012-08-02T00:00:00",36
"NSABHC0008","NS",20120831,-31.88592,141.5288,"2012-08-31T00:00:00",29
"NSABHC0009","NS",20120903,-31.08023,141.6974,"2012-09-03T00:00:00",37
"NSABHC0009","NS",20160913,-31.08023,141.6974,"2016-09-13T11:11:06",46
"NSABHC0010","NS",20120904,-31.07672,141.7003,"2012-09-04T00:00:00",17
"NSABHC0011","NS",20120918,-31.02532,141.6781,"2012-09-18T00:00:00",25
"NSABHC0012","NS",20120919,-31.07957,141.7411,"2012-09-19T00:00:00",39
"NSABHC0012","NS",20160915,-31.07957,141.7411,"2016-09-15T09:49:34",41
"NSABHC0013","NS",20120920,-31.32392,141.6008,"2012-09-20T00:00:00",24
"NSABHC0014","NS",20120921,-31.33115,141.5915,"2012-09-21T00:00:00",21
"NSABHC0015","NS",20130205,-31.83394,141.0592,"2013-02-05T00:00:00",26
"NSABHC0016","NS",20131206,-31.83403,141.0614,"2013-12-06T00:00:00",14
"NSABHC0017","NS",20130207,-31.84331,141.1926,"2013-02-07T00:00:00",19
"NSABHC0018","NS",20130313,-32.24909,142.0537,"2013-03-13T13:40:00",11
"NSABHC0019","NS",20130313,-32.51485,141.5496,"2013-03-13T13:43:00",18
"NSABHC0020","NS",20130314,-32.26481,141.5007,"2013-03-14T00:00:00",18
"NSABHC0021","NS",20140419,-32.12007,141.8683,"2014-04-19T00:00:00",33
"NSABHC0022","NS",20140419,-30.66608,142.4724,"2014-04-19T00:00:00",18
"NSABHC0023","NS",20140421,-31.34395,142.1366,"2014-04-21T00:00:00",26
"NSABHC0024","NS",20140422,-31.34679,142.1485,"2014-04-22T00:00:00",32
"NSABHC0025","NS",20140602,-32.42053,141.5354,"2014-06-02T00:00:00",23
"NSABHC0026","NS",20140604,-31.77803,142.268,"2014-06-04T00:00:00",41
"NSABHC0028","NS",20160912,-31.06598,141.7173,"2016-09-12T13:10:42",19
"NSABHC0029","NS",20160912,-31.06217,141.6694,"2016-09-12T15:35:12",18
"NSACHC0001","NS",20180417,-29.44539,142.2648,"2018-04-17T09:44:11",9
"NSACHC0002","NS",20180417,-29.30673,142.1806,"2018-04-17T14:04:50",10
"NSACHC0003","NS",20180418,-29.21309,141.8955,"2018-04-18T11:15:14",5
"NSACHC0004","NS",20180418,-29.06618,141.8645,"2018-04-18T15:51:01",6
"NSACOP0001","NS",20180410,-32.59106,145.5407,"2018-04-10T11:32:44",5
"NSACOP0002","NS",20180411,-32.60452,145.6653,"2018-04-11T15:01:29",7
"NSAMDD0001","NS",20140527,-34.18392,142.5602,"2014-05-27T00:00:00",15
